Date,Name,Distance,City
2020-12-28,The Drop Huddersfield,30.0 mi • 15.0 mi • 10.0 mi,Huddersfield
2021-01-09,The Drop York – Winter Special,15.0 mi • 10.0 mi,York
2021-02-06,Hamsterley Forest 10K & Half Marathon - February,26.2 mi • 13.1 mi • 6.2 mi,"Hamster, Redford"
2021-04-04,Discover Run the Wild,13.1 mi,Tring
2021-05-24,Berghaus Dragon’s Back,195.7 mi,Conwy
2023-09-17,Lancaster Marathon,26.1 mi,Lancaster
2109-03-03,Berkhamsted Half Marathon & Fun Run,13.1 mi • 5.0 mi,Berkhamsted
2109-03-03,Ron Hill Accrington 10k & 1 Mile Fun Run,6.2 mi,Accrington
2020-11-29,The I Can Run Ipswich Winter Runderland 5K,3.1 mi • 1.6 mi,Ipswich
2020-12-05,Spartan Stadion - Twickenham Stadium,3.1 mi • 1.2 mi • 0.6 mi,Twickenham
2020-12-05,"Nottingham Christmas Marathon, Half, 5K & 1 Mile Fun Run",26.2 mi • 13.1 mi • 6.2 mi • 3.1 mi • 1.0 mi,Nottingham
2020-12-05,Battersea Park 5k & 10k - December,6.2 mi • 3.1 mi,London
2020-12-05,Run Richmond Park 5k and 10k Race 14,6.2 mi • 3.1 mi,Richmond
2020-12-05,Salisbury Plain Marathon/Half Marathon,26.2 mi • 13.1 mi,Shipton Bellinger
2020-12-05,Maverick Adidas Terrex Original - Oxfordshire,13.7 mi • 6.8 mi • 5.0 mi,Stonor
2020-12-06,RunThrough Goodwood Motor Circuit Grand Prix - December,26.2 mi • 20.0 mi • 13.1 mi • 6.2 mi • 3.1 mi,Chichester
2020-12-06,Running Grand Prix Oulton Park – December,26.2 mi • 20.0 mi • 16.0 mi • 13.0 mi • 6.2 mi • 3.1 mi,Tarporley
2020-12-06,Southampton Common 10k,6.2 mi,Southampton
2020-12-06,PieAthlon - Yorkshire,3.7 mi,Huddersfield
2020-12-06,Rayne'deer Run,26.2 mi,Rayne
2020-12-06,Vale of Clwyd Half Marathon,13.1 mi,Llandyrnog
